name,pbt1,t1,pbt2,t2,pbt3,t3,points,ind,pbt,wonprevious,triple,TSID
Gary Anderson,501,20,481,T5,466,T20,20,t1pt,501,0,0,1
Gary Anderson,501,20,481,T5,466,T20,15,t2pt,481,0,0,1
Gary Anderson,501,20,481,T5,466,T20,60,t3pt,466,0,1,1
Gary Anderson,406,5,401,T20,341,T19,5,t1pt,406,0,0,1
Gary Anderson,406,5,401,T20,341,T19,60,t2pt,401,0,1,1
Gary Anderson,406,5,401,T20,341,T19,57,t3pt,341,0,1,1
Gary Anderson,284,20,264,T20,204,T20,20,t1pt,284,0,0,1
Gary Anderson,284,20,264,T20,204,T20,60,t2pt,264,0,1,1
Gary Anderson,284,20,264,T20,204,T20,60,t3pt,204,0,1,1
Gary Anderson,501,T20,441,T20,381,T19,60,t1pt,501,1,1,2
Gary Anderson,501,T20,441,T20,381,T19,60,t2pt,441,1,1,2
Gary Anderson,501,T20,441,T20,381,T19,57,t3pt,381,1,1,2
Gary Anderson,324,T20,264,T20,204,20,60,t1pt,324,1,1,2
Gary Anderson,324,T20,264,T20,204,20,60,t2pt,264,1,1,2
Gary Anderson,324,T20,264,T20,204,20,20,t3pt,204,1,0,2
Gary Anderson,184,20,164,T20,104,20,20,t1pt,184,1,0,2
Gary Anderson,501,20,481,20,461,20,20,t1pt,501,1,0,3
Gary Anderson,501,20,481,20,461,20,20,t2pt,481,1,0,3
Gary Anderson,501,20,481,20,461,20,20,t3pt,461,1,0,3
Gary Anderson,441,T20,381,T20,321,T20,60,t1pt,441,1,1,3
Gary Anderson,441,T20,381,T20,321,T20,60,t2pt,381,1,1,3
Gary Anderson,441,T20,381,T20,321,T20,60,t3pt,321,1,1,3
Gary Anderson,261,T20,201,20,181,T20,60,t1pt,261,1,1,3
Gary Anderson,261,T20,201,20,181,T20,20,t2pt,201,1,0,3
Gary Anderson,261,T20,201,20,181,T20,60,t3pt,181,1,1,3
Gary Anderson,501,20,481,T20,421,19,20,t1pt,501,1,0,4
Gary Anderson,501,20,481,T20,421,19,60,t2pt,481,1,1,4
Gary Anderson,501,20,481,T20,421,19,19,t3pt,421,1,0,4
Gary Anderson,402,20,382,20,362,19,20,t1pt,402,1,0,4
Gary Anderson,402,20,382,20,362,19,20,t2pt,382,1,0,4
Gary Anderson,402,20,382,20,362,19,19,t3pt,362,1,0,4
Gary Anderson,343,T19,286,19,267,T19,57,t1pt,343,1,1,4
Gary Anderson,343,T19,286,19,267,T19,19,t2pt,286,1,0,4
Gary Anderson,343,T19,286,19,267,T19,57,t3pt,267,1,1,4
Gary Anderson,210,20,190,T20,130,20,20,t1pt,210,1,0,4
Gary Anderson,210,20,190,T20,130,20,60,t2pt,190,1,1,4
Gary Anderson,501,20,481,20,461,20,20,t1pt,501,0,0,5
Gary Anderson,501,20,481,20,461,20,20,t2pt,481,0,0,5
Gary Anderson,501,20,481,20,461,20,20,t3pt,461,0,0,5
Gary Anderson,441,T20,381,T20,321,20,60,t1pt,441,0,1,5
Gary Anderson,441,T20,381,T20,321,20,60,t2pt,381,0,1,5
Gary Anderson,441,T20,381,T20,321,20,20,t3pt,321,0,0,5
Gary Anderson,301,T20,241,20,221,T20,60,t1pt,301,0,1,5
Gary Anderson,301,T20,241,20,221,T20,20,t2pt,241,0,0,5
Gary Anderson,301,T20,241,20,221,T20,60,t3pt,221,0,1,5
Gary Anderson,501,T20,441,T19,384,T19,60,t1pt,501,1,1,6
Gary Anderson,501,T20,441,T19,384,T19,57,t2pt,441,1,1,6
Gary Anderson,501,T20,441,T19,384,T19,57,t3pt,384,1,1,6
Gary Anderson,327,20,307,20,287,20,20,t1pt,327,1,0,6
Gary Anderson,327,20,307,20,287,20,20,t2pt,307,1,0,6
Gary Anderson,327,20,307,20,287,20,20,t3pt,287,1,0,6
Gary Anderson,267,5,262,T20,202,20,5,t1pt,267,1,0,6
Gary Anderson,267,5,262,T20,202,20,60,t2pt,262,1,1,6
Gary Anderson,267,5,262,T20,202,20,20,t3pt,202,1,0,6
Gary Anderson,182,5,177,20,157,T19,5,t1pt,182,1,0,6
Gary Anderson,501,T20,441,T20,381,20,60,t1pt,501,0,1,7
Gary Anderson,501,T20,441,T20,381,20,60,t2pt,441,0,1,7
Gary Anderson,501,T20,441,T20,381,20,20,t3pt,381,0,0,7
Gary Anderson,361,T20,301,20,281,T1,60,t1pt,361,0,1,7
Gary Anderson,361,T20,301,20,281,T1,20,t2pt,301,0,0,7
Gary Anderson,361,T20,301,20,281,T1,3,t3pt,281,0,0,7
Gary Anderson,278,T20,218,20,198,T18,60,t1pt,278,0,1,7
Gary Anderson,278,T20,218,20,198,T18,20,t2pt,218,0,0,7
Gary Anderson,278,T20,218,20,198,T18,54,t3pt,198,0,1,7
Gary Anderson,501,T20,441,20,421,20,60,t1pt,501,0,1,8
Gary Anderson,501,T20,441,20,421,20,20,t2pt,441,0,0,8
Gary Anderson,501,T20,441,20,421,20,20,t3pt,421,0,0,8
Gary Anderson,401,20,381,T20,321,19,20,t1pt,401,0,0,8
Gary Anderson,401,20,381,T20,321,19,60,t2pt,381,0,1,8
Gary Anderson,401,20,381,T20,321,19,19,t3pt,321,0,0,8
Gary Anderson,302,18,284,T18,230,20,18,t1pt,302,0,0,8
Gary Anderson,302,18,284,T18,230,20,54,t2pt,284,0,1,8
