name,TSID,throw_in_leg,turn_in_leg,dart_in_turn,ind,pbt,points_before_turn,points,segment_hit,triple,wonprevious,is_throw2,is_throw3
Adrian Lewis,1,1,1,1,t1pt,501,501,20,20,0,0,0,0
Adrian Lewis,1,2,1,2,t2pt,481,501,60,T20,1,0,1,0
Adrian Lewis,1,3,1,3,t3pt,421,501,19,19,0,0,0,1
Adrian Lewis,1,4,2,1,t1pt,402,402,20,20,0,0,0,0
Adrian Lewis,1,5,2,2,t2pt,382,402,19,19,0,0,1,0
Adrian Lewis,1,6,2,3,t3pt,363,402,19,19,0,0,0,1
Adrian Lewis,1,7,3,1,t1pt,344,344,20,20,0,0,0,0
Adrian Lewis,1,8,3,2,t2pt,324,344,57,T19,1,0,1,0
Adrian Lewis,1,9,3,3,t3pt,267,344,21,T7,0,0,0,1
Adrian Lewis,1,10,4,1,t1pt,246,246,5,5,0,0,0,0
Adrian Lewis,1,11,4,2,t2pt,241,246,20,20,0,0,1,0
Adrian Lewis,1,12,4,3,t3pt,221,246,20,20,0,0,0,1
Adrian Lewis,1,13,5,1,t1pt,201,201,20,20,0,0,0,0
Adrian Lewis,1,14,5,2,t2pt,181,201,60,T20,1,0,1,0
Adrian Lewis,2,1,1,1,t1pt,501,501,1,1,0,0,0,0
Adrian Lewis,2,2,1,2,t2pt,500,501,57,T19,1,0,1,0
Adrian Lewis,2,3,1,3,t3pt,443,501,19,19,0,0,0,1
Adrian Lewis,2,4,2,1,t1pt,424,424,60,T20,1,0,0,0
Adrian Lewis,2,5,2,2,t2pt,364,424,20,20,0,0,1,0
Adrian Lewis,2,6,2,3,t3pt,344,424,7,7,0,0,0,1
Adrian Lewis,2,7,3,1,t1pt,337,337,60,T20,1,0,0,0
Adrian Lewis,2,8,3,2,t2pt,277,337,60,T20,1,0,1,0
Adrian Lewis,2,9,3,3,t3pt,217,337,20,20,0,0,0,1
Adrian Lewis,2,10,4,1,t1pt,197,197,20,20,0,0,0,0
Adrian Lewis,3,1,1,1,t1pt,501,501,20,20,0,0,0,0
Adrian Lewis,3,2,1,2,t2pt,481,501,20,20,0,0,1,0
Adrian Lewis,3,3,1,3,t3pt,461,501,60,T20,1,0,0,1
Adrian Lewis,3,4,2,1,t1pt,401,401,15,T5,0,0,0,0
Adrian Lewis,3,5,2,2,t2pt,386,401,20,20,0,0,1,0
Adrian Lewis,3,6,2,3,t3pt,366,401,19,19,0,0,0,1
Adrian Lewis,3,7,3,1,t1pt,347,347,60,T20,1,0,0,0
Adrian Lewis,3,8,3,2,t2pt,287,347,20,20,0,0,1,0
Adrian Lewis,3,9,3,3,t3pt,267,347,60,T20,1,0,0,1
Adrian Lewis,3,10,4,1,t1pt,207,207,20,20,0,0,0,0
Adrian Lewis,3,11,4,2,t2pt,187,207,20,20,0,0,1,0
Adrian Lewis,4,1,1,1,t1pt,501,501,20,20,0,0,0,0
Adrian Lewis,4,2,1,2,t2pt,481,501,20,20,0,0,1,0
Adrian Lewis,4,3,1,3,t3pt,461,501,19,19,0,0,0,1
Adrian Lewis,4,4,2,1,t1pt,442,442,60,T20,1,0,0,0
Adrian Lewis,4,5,2,2,t2pt,382,442,60,T20,1,0,1,0
Adrian Lewis,4,6,2,3,t3pt,322,442,1,1,0,0,0,1
Adrian Lewis,4,7,3,1,t1pt,321,321,60,T20,1,0,0,0
Adrian Lewis,4,8,3,2,t2pt,261,321,20,20,0,0,1,0
Adrian Lewis,4,9,3,3,t3pt,241,321,57,T19,1,0,0,1
Adrian Lewis,4,10,4,1,t1pt,184,184,20,20,0,0,0,0
Adrian Lewis,5,1,1,1,t1pt,501,501,3,T1,0,0,0,0
Adrian Lewis,5,2,1,2,t2pt,498,501,20,20,0,0,1,0
Adrian Lewis,5,3,1,3,t3pt,478,501,60,T20,1,0,0,1
Adrian Lewis,5,4,2,1,t1pt,418,418,20,20,0,0,0,0
Adrian Lewis,5,5,2,2,t2pt,398,418,57,T19,1,0,1,0
Adrian Lewis,5,6,2,3,t3pt,341,418,57,T19,1,0,0,1
Adrian Lewis,5,7,3,1,t1pt,284,284,60,T20,1,0,0,0
Adrian Lewis,5,8,3,2,t2pt,224,284,20,20,0,0,1,0
Adrian Lewis,5,9,3,3,t3pt,204,284,20,20,0,0,0,1
Adrian Lewis,5,10,4,1,t1pt,184,184,20,20,0,0,0,0
Adrian Lewis,6,1,1,1,t1pt,501,501,60,T20,1,0,0,0
Adrian Lewis,6,2,1,2,t2pt,441,501,60,T20,1,0,1,0
Adrian Lewis,6,3,1,3,t3pt,381,501,1,1,0,0,0,1
Adrian Lewis,6,4,2,1,t1pt,380,380,5,5,0,0,0,0
Adrian Lewis,6,5,2,2,t2pt,375,380,60,T20,1,0,1,0
Adrian Lewis,6,6,2,3,t3pt,315,380,60,T20,1,0,0,1
Adrian Lewis,6,7,3,1,t1pt,255,255,20,20,0,0,0,0
Adrian Lewis,6,8,3,2,t2pt,235,255,60,T20,1,0,1,0
Adrian Lewis,7,1,1,1,t1pt,501,501,20,20,0,0,0,0
Adrian Lewis,7,2,1,2,t2pt,481,501,1,1,0,0,1,0
Adrian Lewis,7,3,1,3,t3pt,480,501,20,20,0,0,0,1
Adrian Lewis,7,4,2,1,t1pt,460,460,15,T5,0,0,0,0
Adrian Lewis,7,5,2,2,t2pt,445,460,20,20,0,0,1,0
Adrian Lewis,7,6,2,3,t3pt,425,460,19,19,0,0,0,1
Adrian Lewis,7,7,3,1,t1pt,406,406,20,20,0,0,0,0
Adrian Lewis,7,8,3,2,t2pt,386,406,57,T19,1,0,1,0
Adrian Lewis,7,9,3,3,t3pt,329,406,57,T19,1,0,0,1
Adrian Lewis,7,10,4,1,t1pt,272,272,60,T20,1,0,0,0
Adrian Lewis,7,11,4,2,t2pt,212,272,5,5,0,0,1,0
Adrian Lewis,7,12,4,3,t3pt,207,272,1,1,0,0,0,1
Adrian Lewis,7,13,5,1,t1pt,206,206,60,T20,1,0,0,0
Adrian Lewis,8,1,1,1,t1pt,501,501,20,20,0,0,0,0
Adrian Lewis,8,2,1,2,t2pt,481,501,60,T20,1,0,1,0
Adrian Lewis,8,3,1,3,t3pt,421,501,60,T20,1,0,0,1
Adrian Lewis,8,4,2,1,t1pt,361,361,20,20,0,0,0,0
Adrian Lewis,8,5,2,2,t2pt,341,361,20,20,0,0,1,0
Adrian Lewis,8,6,2,3,t3pt,321,361,60,T20,1,0,0,1
Adrian Lewis,8,7,3,1,t1pt,261,261,60,T20,1,0,0,0
Adrian Lewis,8,8,3,2,t2pt,201,261,60,T20,1,0,1,0
Adrian Lewis,9,1,1,1,t1pt,501,501,20,20,0,1,0,0
Adrian Lewis,9,2,1,2,t2pt,481,501,19,19,0,1,1,0
Adrian Lewis,9,3,1,3,t3pt,462,501,18,18,0,1,0,1
Adrian Lewis,9,4,2,1,t1pt,444,444,1,1,0,1,0,0
Adrian Lewis,9,5,2,2,t2pt,443,444,57,T19,1,1,1,0
Adrian Lewis,9,6,2,3,t3pt,386,444,19,19,0,1,0,1
Adrian Lewis,9,7,3,1,t1pt,367,367,60,T20,1,1,0,0
Adrian Lewis,9,8,3,2,t2pt,307,367,60,T20,1,1,1,0
Adrian Lewis,9,9,3,3,t3pt,247,367,0,Bounce out,0,1,0,1
Adrian Lewis,9,10,4,1,t1pt,247,247,20,20,0,1,0,0
Adrian Lewis,9,11,4,2,t2pt,227,247,0,Bounce out,0,1,1,0
Adrian Lewis,9,12,4,3,t3pt,227,247,60,T20,1,1,0,1
Adrian Lewis,10,1,1,1,t1pt,501,501,60,T20,1,0,0,0
Adrian Lewis,10,2,1,2,t2pt,441,501,20,20,0,0,1,0
Adrian Lewis,10,3,1,3,t3pt,421,501,20,20,0,0,0,1
Adrian Lewis,10,4,2,1,t1pt,401,401,20,20,0,0,0,0
Adrian Lewis,10,5,2,2,t2pt,381,401,60,T20,1,0,1,0
