,Season,DayNum,Team1,Team2,y,SeedNum1,SeedNum2,SeedDiff
0,2003,134,1411,1421,0,16,16,0
1,2003,136,1112,1436,1,1,16,-15
2,2003,136,1113,1272,1,10,7,3
3,2003,136,1141,1166,1,11,6,5
4,2003,136,1143,1301,1,8,9,-1
5,2003,136,1140,1163,0,12,5,7
6,2003,136,1161,1181,0,14,3,11
7,2003,136,1153,1211,0,8,9,-1
8,2003,136,1228,1443,1,4,13,-9
9,2003,136,1242,1429,1,2,15,-13
10,2003,136,1221,1266,0,14,3,11
11,2003,136,1281,1356,1,6,11,-5
12,2003,136,1323,1454,1,5,12,-7
13,2003,136,1328,1354,1,1,16,-15
14,2003,136,1360,1390,0,13,4,9
15,2003,136,1173,1409,0,4,13,-9
16,2003,136,1451,1458,0,12,5,7
17,2003,137,1120,1386,1,10,7,3
18,2003,137,1139,1280,1,12,5,7
19,2003,137,1196,1358,1,2,15,-13
20,2003,137,1104,1231,0,10,7,3
21,2003,137,1237,1246,0,16,1,15
22,2003,137,1122,1257,0,13,4,9
23,2003,137,1268,1423,1,6,11,-5
24,2003,137,1160,1277,0,10,7,3
25,2003,137,1329,1335,1,6,11,-5
26,2003,137,1338,1447,1,2,15,-13
27,2003,137,1261,1345,0,8,9,-1
28,2003,137,1264,1393,0,14,3,11
29,2003,137,1400,1421,1,1,16,-15
30,2003,137,1332,1428,0,8,9,-1
31,2003,137,1190,1448,0,15,2,13
32,2003,137,1407,1462,0,14,3,11
33,2003,138,1112,1211,1,1,9,-8
34,2003,138,1163,1390,1,5,4,1
35,2003,138,1141,1181,0,11,3,8
36,2003,138,1113,1242,0,10,2,8
37,2003,138,1266,1281,1,3,6,-3
38,2003,138,1228,1323,0,4,5,-1
39,2003,138,1143,1328,0,8,1,7
40,2003,138,1409,1458,0,13,5,8
41,2003,139,1120,1448,1,10,2,8
42,2003,139,1139,1257,1,12,4,8
43,2003,139,1246,1428,1,1,9,-8
44,2003,139,1268,1462,1,6,3,3
45,2003,139,1196,1277,0,2,7,-5
46,2003,139,1231,1338,0,7,2,5
47,2003,139,1329,1393,0,6,3,3
48,2003,139,1345,1400,0,9,1,8
49,2003,143,1112,1323,1,1,5,-4
50,2003,143,1181,1242,0,3,2,1
51,2003,143,1246,1458,1,1,5,-4
52,2003,143,1266,1338,1,3,2,1
53,2003,144,1268,1277,0,6,7,-1
54,2003,144,1139,1328,0,12,1,11
55,2003,144,1120,1393,0,10,3,7
56,2003,144,1163,1400,0,5,1,4
57,2003,145,1112,1242,0,1,2,-1
58,2003,145,1246,1266,0,1,3,-2
59,2003,146,1328,1393,0,1,3,-2
60,2003,146,1277,1400,0,7,1,6
61,2003,152,1242,1266,1,2,3,-1
62,2003,152,1393,1400,1,3,1,2
63,2003,154,1242,1393,0,2,3,-1
64,2004,134,1197,1250,1,16,16,0
65,2004,136,1104,1356,1,8,9,-1
66,2004,136,1163,1436,1,2,15,-13
67,2004,136,1173,1177,0,10,7,3
68,2004,136,1106,1181,0,16,1,15
69,2004,136,1211,1434,1,2,15,-13
70,2004,136,1196,1264,0,5,12,-7
71,2004,136,1268,1431,1,4,13,-9
72,2004,136,1277,1305,0,7,10,-3
73,2004,136,1102,1314,0,11,6,5
74,2004,136,1112,1371,0,9,8,1
75,2004,136,1251,1386,0,16,1,15
76,2004,136,1390,1427,1,1,16,-15
77,2004,136,1140,1393,0,12,5,7
78,2004,136,1343,1400,0,14,3,11
79,2004,136,1150,1403,0,9,8,1
80,2004,136,1433,1448,0,13,4,9
81,2004,137,1130,1428,1,6,11,-5
82,2004,137,1153,1190,1,4,13,-9
83,2004,137,1210,1320,1,3,14,-11
84,2004,137,1228,1293,1,5,12,-7
85,2004,137,1227,1242,0,13,4,9
86,2004,137,1197,1246,0,16,1,15
87,2004,137,1272,1376,1,7,10,-3
88,2004,137,1280,1284,1,2,15,-13
89,2004,137,1301,1418,1,3,14,-11
90,2004,137,1186,1329,0,15,2,13
91,2004,137,1334,1344,1,12,5,7
92,2004,137,1338,1416,1,3,14,-11
93,2004,137,1412,1449,1,9,8,1
94,2004,137,1435,1444,1,6,11,-5
95,2004,137,1350,1458,0,11,6,5
96,2004,137,1257,1462,0,10,7,3
97,2004,138,1104,1390,1,8,1,7
98,2004,138,1163,1177,1,2,7,-5
99,2004,138,1181,1371,1,1,8,-7
100,2004,138,1211,1305,0,2,10,-8
101,2004,138,1386,1403,1,1,8,-7
102,2004,138,1268,1393,0,4,5,-1
103,2004,138,1314,1400,0,6,3,3
104,2004,138,1264,1448,0,12,4,8
105,2004,139,1130,1210,0,6,3,3
106,2004,139,1153,1228,0,4,5,-1
107,2004,139,1242,1334,1,4,12,-8
108,2004,139,1272,1329,0,7,2,5
109,2004,139,1338,1458,1,3,6,-3
110,2004,139,1246,1412,0,1,9,-8
111,2004,139,1301,1435,0,3,6,-3
112,2004,139,1280,1462,0,2,7,-5
113,2004,143,1104,1393,1,8,5,3
114,2004,143,1163,1435,1,2,6,-4
115,2004,143,1329,1338,1,2,3,-1
116,2004,143,1386,1448,1,1,4,-3
117,2004,144,1181,1228,1,1,5,-4
118,2004,144,1210,1305,1,3,10,-7
119,2004,144,1242,1412,1,4,9,-5
120,2004,144,1400,1462,0,3,7,-4
121,2004,145,1104,1163,0,8,2,6
122,2004,145,1329,1386,1,2,1,1
123,2004,146,1181,1462,1,1,7,-6
124,2004,146,1210,1242,1,3,4,-1
125,2004,152,1163,1181,1,2,1,1
126,2004,152,1210,1329,1,3,2,1
127,2004,154,1163,1210,1,2,3,-1
128,2005,134,1105,1324,0,16,16,0
129,2005,136,1112,1429,1,3,14,-11
130,2005,136,1130,1335,1,4,13,-9
131,2005,136,1153,1234,1,7,10,-3
132,2005,136,1211,1457,1,3,14,-11
133,2005,136,1192,1228,0,16,1,15
134,2005,136,1184,1246,0,15,2,13
135,2005,136,1305,1400,1,9,8,1
136,2005,136,1310,1328,0,14,3,11
137,2005,136,1334,1338,1,8,9,-1
138,2005,136,1403,1417,1,6,11,-5
139,2005,136,1261,1412,0,6,11,-5
140,2005,136,1428,1431,1,6,11,-5
141,2005,136,1151,1448,0,15,2,13
142,2005,136,1285,1449,0,16,1,15
143,2005,136,1166,1452,0,10,7,3
144,2005,136,1104,1454,0,5,12,-7
145,2005,137,1137,1242,1,14,3,11
146,2005,137,1163,1416,1,2,15,-13
147,2005,137,1175,1181,0,16,1,15
148,2005,137,1196,1325,1,4,13,-9
149,2005,137,1203,1210,0,12,5,7
150,2005,137,1235,1278,1,9,8,1
151,2005,137,1257,1418,1,4,13,-9
152,2005,137,1277,1330,1,5,12,-7
153,2005,137,1280,1390,1,9,8,1
154,2005,137,1150,1301,0,7,10,-3
155,2005,137,1314,1324,1,1,16,-15
156,2005,137,1329,1368,1,2,15,-13
157,2005,137,1356,1388,1,7,10,-3
158,2005,137,1393,1436,0,4,13,-9
159,2005,137,1307,1437,0,12,5,7
160,2005,137,1320,1458,0,11,6,5
161,2005,138,1112,1412,1,3,11,-8
162,2005,138,1228,1305,1,1,9,-8
163,2005,138,1153,1246,0,7,2,5
164,2005,138,1211,1403,0,3,6,-3
165,2005,138,1328,1428,0,3,6,-3
166,2005,138,1334,1449,0,8,1,7
167,2005,138,1448,1452,0,2,7,-5
168,2005,138,1130,1454,0,4,12,-8
169,2005,139,1181,1280,1,1,9,-8
170,2005,139,1210,1257,0,5,4,1
171,2005,139,1277,1436,1,5,13,-8
172,2005,139,1163,1301,0,2,10,-8
173,2005,139,1235,1314,0,9,1,8
174,2005,139,1329,1356,1,2,7,-5
175,2005,139,1196,1437,0,4,5,-1
176,2005,139,1137,1458,0,14,6,8
177,2005,143,1112,1329,1,3,2,1
178,2005,143,1228,1454,1,1,12,-11
179,2005,143,1257,1449,1,4,1,3
180,2005,143,1403,1452,0,6,7,-1
181,2005,144,1246,1428,1,2,6,-4
182,2005,144,1181,1277,0,1,5,-4
183,2005,144,1314,1437,1,1,5,-4
184,2005,144,1301,1458,0,10,6,4
185,2005,145,1112,1228,0,3,1,2
186,2005,145,1257,1452,1,4,7,-3
187,2005,146,1246,1277,0,2,5,-3
188,2005,146,1314,1458,1,1,6,-5
189,2005,152,1228,1257,1,1,4,-3
190,2005,152,1277,1314,0,5,1,4
191,2005,154,1228,1314,0,1,1,0
192,2006,134,1214,1284,0,16,16,0
193,2006,136,1104,1266,1,10,7,3
194,2006,136,1130,1334,1,4,13,-9
